Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
220,  29891304.3,Hz,      -36.49,dBm
221,  30027173.9,Hz,      -35.83,dBm
222,  30163043.5,Hz,      -34.80,dBm
223,  30298913.0,Hz,      -36.03,dBm
224,  30434782.6,Hz,      -37.03,dBm
225,  30570652.2,Hz,      -35.29,dBm
226,  30706521.7,Hz,      -38.58,dBm
227,  30842391.3,Hz,      -36.36,dBm
228,  30978260.9,Hz,      -34.66,dBm
229,  31114130.4,Hz,      -37.46,dBm
230,  31250000.0,Hz,      -36.52,dBm
231,  31385869.6,Hz,      -38.06,dBm
232,  31521739.1,Hz,      -37.02,dBm
233,  31657608.7,Hz,      -35.98,dBm
234,  31793478.3,Hz,      -36.97,dBm
235,  31929347.8,Hz,      -37.25,dBm
236,  32065217.4,Hz,      -35.57,dBm
237,  32201087.0,Hz,      -34.61,dBm
238,  32336956.5,Hz,      -37.88,dBm
239,  32472826.1,Hz,      -37.30,dBm
240,  32608695.7,Hz,      -36.95,dBm
241,  32744565.2,Hz,      -37.15,dBm
242,  32880434.8,Hz,      -35.59,dBm
243,  33016304.3,Hz,      -36.87,dBm
244,  33152173.9,Hz,      -34.87,dBm
245,  33288043.5,Hz,      -37.77,dBm
246,  33423913.0,Hz,      -36.38,dBm
247,  33559782.6,Hz,      -37.12,dBm
248,  33695652.2,Hz,      -36.23,dBm
249,  33831521.7,Hz,      -37.30,dBm
250,  33967391.3,Hz,      -36.54,dBm
251,  34103260.9,Hz,      -38.30,dBm
252,  34239130.4,Hz,      -37.12,dBm
253,  34375000.0,Hz,      -36.48,dBm
254,  34510869.6,Hz,      -37.25,dBm
255,  34646739.1,Hz,      -36.58,dBm
256,  34782608.7,Hz,      -37.14,dBm
257,  34918478.3,Hz,      -36.69,dBm
258,  35054347.8,Hz,      -36.43,dBm
259,  35190217.4,Hz,      -35.97,dBm
260,  35326087.0,Hz,      -35.89,dBm
261,  35461956.5,Hz,      -36.38,dBm
262,  35597826.1,Hz,      -36.48,dBm
263,  35733695.7,Hz,      -36.74,dBm
264,  35869565.2,Hz,      -37.01,dBm
265,  36005434.8,Hz,      -37.44,dBm
266,  36141304.3,Hz,      -38.02,dBm
267,  36277173.9,Hz,      -36.81,dBm
268,  36413043.5,Hz,      -38.69,dBm
269,  36548913.0,Hz,      -36.60,dBm
270,  36684782.6,Hz,      -36.20,dBm
271,  36820652.2,Hz,      -36.58,dBm
272,  36956521.7,Hz,      -37.76,dBm
273,  37092391.3,Hz,      -37.81,dBm
274,  37228260.9,Hz,      -36.76,dBm
275,  37364130.4,Hz,      -36.45,dBm
276,  37500000.0,Hz,      -36.40,dBm
277,  37635869.6,Hz,      -34.49,dBm
278,  37771739.1,Hz,      -35.63,dBm
279,  37907608.7,Hz,      -36.27,dBm
280,  38043478.3,Hz,      -36.17,dBm
281,  38179347.8,Hz,      -36.78,dBm
282,  38315217.4,Hz,      -37.24,dBm
283,  38451087.0,Hz,      -38.36,dBm
284,  38586956.5,Hz,      -37.34,dBm
285,  38722826.1,Hz,      -36.32,dBm
286,  38858695.7,Hz,      -35.37,dBm
287,  38994565.2,Hz,      -36.44,dBm
288,  39130434.8,Hz,      -36.80,dBm
289,  39266304.3,Hz,      -35.68,dBm
290,  39402173.9,Hz,      -37.48,dBm
291,  39538043.5,Hz,      -37.86,dBm
292,  39673913.0,Hz,      -37.41,dBm
293,  39809782.6,Hz,      -37.63,dBm
294,  39945652.2,Hz,      -38.33,dBm
295,  40081521.7,Hz,      -38.33,dBm
296,  40217391.3,Hz,      -36.97,dBm
297,  40353260.9,Hz,      -39.07,dBm
298,  40489130.4,Hz,      -37.43,dBm
299,  40625000.0,Hz,      -35.47,dBm
300,  40760869.6,Hz,      -37.02,dBm
301,  40896739.1,Hz,      -37.85,dBm
302,  41032608.7,Hz,      -35.37,dBm
303,  41168478.3,Hz,      -38.18,dBm
304,  41304347.8,Hz,      -37.78,dBm
305,  41440217.4,Hz,      -37.83,dBm
306,  41576087.0,Hz,      -36.57,dBm
307,  41711956.5,Hz,      -38.00,dBm
308,  41847826.1,Hz,      -36.03,dBm
309,  41983695.7,Hz,      -37.45,dBm
310,  42119565.2,Hz,      -38.33,dBm
311,  42255434.8,Hz,      -36.20,dBm
312,  42391304.3,Hz,      -38.18,dBm
313,  42527173.9,Hz,      -37.32,dBm
314,  42663043.5,Hz,      -36.46,dBm
315,  42798913.0,Hz,      -36.20,dBm
316,  42934782.6,Hz,      -38.13,dBm
317,  43070652.2,Hz,      -36.92,dBm
318,  43206521.7,Hz,      -38.30,dBm
319,  43342391.3,Hz,      -37.12,dBm
320,  43478260.9,Hz,      -37.72,dBm
321,  43614130.4,Hz,      -37.87,dBm
322,  43750000.0,Hz,      -36.36,dBm
323,  43885869.6,Hz,      -36.00,dBm
324,  44021739.1,Hz,      -37.52,dBm
325,  44157608.7,Hz,      -37.74,dBm
326,  44293478.3,Hz,      -38.15,dBm
327,  44429347.8,Hz,      -37.50,dBm
328,  44565217.4,Hz,      -38.67,dBm
329,  44701087.0,Hz,      -37.49,dBm
330,  44836956.5,Hz,      -37.47,dBm
331,  44972826.1,Hz,      -38.27,dBm
332,  45108695.7,Hz,      -39.18,dBm
333,  45244565.2,Hz,      -37.14,dBm
334,  45380434.8,Hz,      -36.96,dBm
335,  45516304.3,Hz,      -38.64,dBm
336,  45652173.9,Hz,      -37.94,dBm
337,  45788043.5,Hz,      -37.84,dBm
338,  45923913.0,Hz,      -36.78,dBm
339,  46059782.6,Hz,      -36.48,dBm
340,  46195652.2,Hz,      -36.50,dBm
341,  46331521.7,Hz,      -38.17,dBm
342,  46467391.3,Hz,      -38.24,dBm
343,  46603260.9,Hz,      -38.87,dBm
344,  46739130.4,Hz,      -37.76,dBm
345,  46875000.0,Hz,      -37.89,dBm
346,  47010869.6,Hz,      -37.26,dBm
347,  47146739.1,Hz,      -35.89,dBm
348,  47282608.7,Hz,      -37.61,dBm
349,  47418478.3,Hz,      -38.59,dBm
350,  47554347.8,Hz,      -37.56,dBm
351,  47690217.4,Hz,      -37.91,dBm
352,  47826087.0,Hz,      -37.19,dBm
353,  47961956.5,Hz,      -38.26,dBm
354,  48097826.1,Hz,      -37.78,dBm
355,  48233695.7,Hz,      -39.43,dBm
356,  48369565.2,Hz,      -38.71,dBm
357,  48505434.8,Hz,      -39.33,dBm
358,  48641304.3,Hz,      -39.35,dBm
359,  48777173.9,Hz,      -37.96,dBm
360,  48913043.5,Hz,      -39.04,dBm
361,  49048913.0,Hz,      -37.16,dBm
362,  49184782.6,Hz,      -37.28,dBm
363,  49320652.2,Hz,      -37.60,dBm
364,  49456521.7,Hz,      -39.68,dBm
365,  49592391.3,Hz,      -37.91,dBm
366,  49728260.9,Hz,      -37.43,dBm
367,  49864130.4,Hz,      -37.08,dBm
368,  50000000.0,Hz,      -37.75,dBm
369,  50135869.6,Hz,      -39.40,dBm
370,  50271739.1,Hz,      -39.24,dBm
371,  50407608.7,Hz,      -39.81,dBm
372,  50543478.3,Hz,      -39.24,dBm
373,  50679347.8,Hz,      -37.75,dBm
374,  50815217.4,Hz,      -38.73,dBm
375,  50951087.0,Hz,      -37.20,dBm
376,  51086956.5,Hz,      -38.86,dBm
377,  51222826.1,Hz,      -37.00,dBm
378,  51358695.7,Hz,      -39.11,dBm
379,  51494565.2,Hz,      -36.69,dBm
380,  51630434.8,Hz,      -39.68,dBm
381,  51766304.3,Hz,      -37.67,dBm
382,  51902173.9,Hz,      -39.37,dBm
383,  52038043.5,Hz,      -40.14,dBm
384,  52173913.0,Hz,      -39.03,dBm
385,  52309782.6,Hz,      -39.75,dBm
