Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
303,  41168478.3,Hz,      -50.66,dBm
304,  41304347.8,Hz,      -49.93,dBm
305,  41440217.4,Hz,      -49.99,dBm
306,  41576087.0,Hz,      -51.21,dBm
307,  41711956.5,Hz,      -51.02,dBm
308,  41847826.1,Hz,      -50.80,dBm
309,  41983695.7,Hz,      -47.99,dBm
310,  42119565.2,Hz,      -50.33,dBm
311,  42255434.8,Hz,      -50.16,dBm
312,  42391304.3,Hz,      -49.59,dBm
313,  42527173.9,Hz,      -50.58,dBm
314,  42663043.5,Hz,      -49.20,dBm
315,  42798913.0,Hz,      -49.20,dBm
316,  42934782.6,Hz,      -50.35,dBm
317,  43070652.2,Hz,      -52.87,dBm
318,  43206521.7,Hz,      -51.15,dBm
319,  43342391.3,Hz,      -50.24,dBm
320,  43478260.9,Hz,      -50.65,dBm
321,  43614130.4,Hz,      -50.57,dBm
322,  43750000.0,Hz,      -50.49,dBm
323,  43885869.6,Hz,      -50.52,dBm
324,  44021739.1,Hz,      -52.94,dBm
325,  44157608.7,Hz,      -48.97,dBm
326,  44293478.3,Hz,      -51.59,dBm
327,  44429347.8,Hz,      -51.88,dBm
328,  44565217.4,Hz,      -51.20,dBm
329,  44701087.0,Hz,      -51.15,dBm
330,  44836956.5,Hz,      -49.61,dBm
331,  44972826.1,Hz,      -51.17,dBm
332,  45108695.7,Hz,      -50.21,dBm
333,  45244565.2,Hz,      -51.85,dBm
334,  45380434.8,Hz,      -51.53,dBm
335,  45516304.3,Hz,      -52.38,dBm
336,  45652173.9,Hz,      -51.72,dBm
337,  45788043.5,Hz,      -51.44,dBm
338,  45923913.0,Hz,      -50.34,dBm
339,  46059782.6,Hz,      -52.38,dBm
340,  46195652.2,Hz,      -50.06,dBm
341,  46331521.7,Hz,      -50.79,dBm
342,  46467391.3,Hz,      -51.44,dBm
343,  46603260.9,Hz,      -51.47,dBm
344,  46739130.4,Hz,      -50.62,dBm
345,  46875000.0,Hz,      -52.86,dBm
346,  47010869.6,Hz,      -51.90,dBm
