Title                    ,
Model:                   ,N9320A
Serial Number:           ,CN0163000547
Center Frequency;        ,31250000.000000,Hz
Span:                    ,62500000.000000,Hz
Resolution Bandwidth:    ,3000.000000,Hz
Video Bandwidth:         ,3000.000000,Hz
Reference Level:         ,        0.00,dBm
Sweep Time:              ,20.878623,Sec
Num Points:              ,0461

No.,            frequency,    ,amplitude,
268,  36413043.5,Hz,      -41.79,dBm
269,  36548913.0,Hz,      -44.24,dBm
270,  36684782.6,Hz,      -41.68,dBm
271,  36820652.2,Hz,      -43.42,dBm
272,  36956521.7,Hz,      -41.97,dBm
273,  37092391.3,Hz,      -41.79,dBm
274,  37228260.9,Hz,      -44.46,dBm
275,  37364130.4,Hz,      -40.73,dBm
276,  37500000.0,Hz,      -42.58,dBm
277,  37635869.6,Hz,      -44.81,dBm
278,  37771739.1,Hz,      -43.31,dBm
279,  37907608.7,Hz,      -42.34,dBm
280,  38043478.3,Hz,      -43.66,dBm
281,  38179347.8,Hz,      -43.09,dBm
282,  38315217.4,Hz,      -44.24,dBm
283,  38451087.0,Hz,      -42.47,dBm
284,  38586956.5,Hz,      -44.56,dBm
285,  38722826.1,Hz,      -43.44,dBm
286,  38858695.7,Hz,      -43.49,dBm
287,  38994565.2,Hz,      -44.18,dBm
288,  39130434.8,Hz,      -45.26,dBm
289,  39266304.3,Hz,      -42.76,dBm
290,  39402173.9,Hz,      -41.99,dBm
291,  39538043.5,Hz,      -43.71,dBm
292,  39673913.0,Hz,      -44.59,dBm
293,  39809782.6,Hz,      -43.52,dBm
294,  39945652.2,Hz,      -44.36,dBm
295,  40081521.7,Hz,      -45.54,dBm
296,  40217391.3,Hz,      -42.15,dBm
297,  40353260.9,Hz,      -45.82,dBm
298,  40489130.4,Hz,      -46.41,dBm
299,  40625000.0,Hz,      -42.57,dBm
300,  40760869.6,Hz,      -43.76,dBm
301,  40896739.1,Hz,      -43.93,dBm
302,  41032608.7,Hz,      -42.65,dBm
303,  41168478.3,Hz,      -43.49,dBm
304,  41304347.8,Hz,      -43.81,dBm
305,  41440217.4,Hz,      -43.92,dBm
306,  41576087.0,Hz,      -43.60,dBm
307,  41711956.5,Hz,      -45.28,dBm
308,  41847826.1,Hz,      -43.79,dBm
309,  41983695.7,Hz,      -43.90,dBm
310,  42119565.2,Hz,      -45.51,dBm
311,  42255434.8,Hz,      -44.06,dBm
312,  42391304.3,Hz,      -44.25,dBm
313,  42527173.9,Hz,      -45.87,dBm
314,  42663043.5,Hz,      -45.45,dBm
315,  42798913.0,Hz,      -45.08,dBm
316,  42934782.6,Hz,      -44.64,dBm
317,  43070652.2,Hz,      -45.81,dBm
318,  43206521.7,Hz,      -44.55,dBm
319,  43342391.3,Hz,      -46.04,dBm
320,  43478260.9,Hz,      -44.03,dBm
321,  43614130.4,Hz,      -45.95,dBm
322,  43750000.0,Hz,      -45.67,dBm
323,  43885869.6,Hz,      -45.92,dBm
324,  44021739.1,Hz,      -46.66,dBm
325,  44157608.7,Hz,      -44.71,dBm
326,  44293478.3,Hz,      -46.43,dBm
327,  44429347.8,Hz,      -44.58,dBm
328,  44565217.4,Hz,      -45.69,dBm
